Timestamp,"Please share a conversation starter: a short question, unfinished sentence, or evocative thought that invites others to respond.",I consent to my conversation starter (and its translations) being processed by local algorithmic systems.,I consent to my conversation starter (and its translations) being shown as part of the Public Matter(s) exhibition.
10/07/2026 10:37:55,"Does a designer have to be ‘democratic’? Because if there’s too much input into the design process, the design might end up being too mainstream...??",Yes,Yes
15/07/2026 10:34:11,How could a fox vote?,Yes,Yes
10/08/2026 15:26:51,How can people be more involved in their democracies?,Yes,Yes
10/08/2026 15:27:09,What are the limits of protest?,Yes,Yes
10/08/2026 15:27:53,But what about those under 18? Shouldn't they have a say?,Yes,Yes
11/08/2026 12:44:51,"How can we build a decarbonized, just, feminist, and decolonial democracy at a moment when existing democratic systems are themselves under threat from fascism?",Yes,Yes
14/08/2026 08:32:47,"Sometimes, democracy has to be avoided at all costs.",Yes,Yes
17/08/2026 11:31:09,The future of Belgium's democracy is a permentant citizen assembly ,Yes,Yes
21/08/2026 11:46:19,Most people confuse socialism and communism ,Yes,Yes
21/08/2026 11:47:52,The King of Cambodia is the only reigning monarch who speaks fluent Czech,Yes,Yes
